age,sex,city,education_status,sds,relation,relatives
32,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
37,2.0,1,0,"[0, 0, 0]",0.0,0
37,2.0,2,0,"[0, 0, 0]",0.0,0
31,2.0,1,1,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
29,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
52,1.0,12,0,"[0, 1, 0]",4.0,4
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 1, 0]",0.0,0
35,1.0,2,0,"[0, 1, 0]",0.0,0
33,1.0,1,0,"[0, 1, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
51,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
33,1.0,2,0,"[0, 1, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
36,2.0,2,3,"[0, 1, 0]",4.0,6
0,1.0,0,0,"[0, 0, 0]",0.0,0
37,2.0,2,0,"[0, 0, 0]",0.0,0
46,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
32,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
34,1.0,2,0,"[0, 1, 0]",0.0,0
17,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
31,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
31,1.0,2,0,"[0, 0, 0]",0.0,0
32,1.0,1,0,"[0, 1, 0]",0.0,0
35,2.0,2,0,"[0, 0, 0]",0.0,0
35,1.0,1,3,"[1, 0, 0]",4.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,3
0,2.0,2,0,"[0, 0, 0]",1.0,2
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
35,2.0,2,3,"[0, 0, 0]",1.0,1
30,2.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 1, 0]",0.0,0
29,1.0,1,3,"[1, 1, 0]",4.0,7
31,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",4.0,1
30,1.0,2,0,"[0, 0, 0]",0.0,0
44,2.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,3,"[0, 0, 0]",4.0,9
0,1.0,2,0,"[0, 0, 0]",0.0,0
31,2.0,1,3,"[0, 0, 0]",1.0,1
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
35,2.0,2,0,"[0, 1, 0]",0.0,0
29,1.0,2,0,"[0, 1, 0]",0.0,3
35,2.0,2,0,"[0, 1, 0]",0.0,5
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 1, 0]",0.0,0
34,1.0,2,0,"[0, 0, 0]",4.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
38,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
33,2.0,1,3,"[1, 0, 0]",0.0,6
30,1.0,1,0,"[0, 0, 0]",0.0,5
0,1.0,2,3,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
29,1.0,2,0,"[0, 0, 0]",0.0,0
29,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
29,2.0,2,0,"[0, 0, 0]",0.0,0
33,1.0,1,0,"[0, 1, 0]",0.0,0
27,1.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 1, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,2,"[0, 0, 0]",4.0,4
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,3,"[0, 0, 0]",4.0,0
39,2.0,2,1,"[0, 0, 0]",4.0,1
0,2.0,2,4,"[0, 1, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
41,2.0,2,3,"[0, 1, 0]",1.0,3
0,1.0,2,0,"[0, 0, 0]",0.0,0
32,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
35,1.0,2,0,"[0, 1, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
36,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
26,1.0,2,0,"[0, 0, 0]",0.0,0
41,1.0,1,0,"[0, 1, 0]",0.0,0
32,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,3
0,1.0,2,0,"[0, 0, 0]",0.0,0
29,1.0,1,0,"[0, 0, 0]",0.0,0
36,1.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,1,3,"[1, 0, 0]",4.0,1
30,2.0,2,0,"[0, 0, 0]",0.0,0
36,1.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,0,0,"[0, 0, 0]",0.0,0
34,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
42,1.0,2,0,"[0, 0, 0]",0.0,4
31,1.0,1,0,"[0, 0, 0]",0.0,0
34,2.0,2,0,"[0, 1, 0]",0.0,0
29,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
32,2.0,2,3,"[0, 1, 0]",1.0,0
34,2.0,2,0,"[0, 0, 0]",0.0,0
29,2.0,1,0,"[0, 0, 0]",0.0,0
31,1.0,1,3,"[0, 1, 0]",4.0,2
39,2.0,2,0,"[0, 1, 0]",0.0,0
0,2.0,2,0,"[0, 1, 0]",0.0,1
0,1.0,1,0,"[0, 1, 0]",0.0,0
36,1.0,2,0,"[0, 0, 0]",0.0,0
25,1.0,2,3,"[1, 0, 0]",0.0,3
31,2.0,1,0,"[0, 0, 0]",0.0,0
38,1.0,2,0,"[0, 1, 0]",0.0,0
31,1.0,1,0,"[0, 1, 0]",7.0,4
40,2.0,1,0,"[0, 1, 0]",0.0,0
0,2.0,2,0,"[0, 1, 0]",0.0,0
38,2.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
28,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
31,2.0,1,3,"[0, 0, 0]",4.0,1
0,1.0,1,3,"[0, 1, 0]",0.0,2
0,1.0,2,0,"[0, 0, 0]",0.0,0
31,2.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
40,2.0,2,0,"[0, 1, 0]",0.0,0
32,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1601,3,"[0, 1, 0]",4.0,0
34,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
57,1.0,2,0,"[0, 0, 0]",0.0,0
43,2.0,2,0,"[0, 0, 0]",0.0,0
41,1.0,1,0,"[0, 0, 0]",0.0,0
26,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,0,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
30,2.0,1,0,"[0, 0, 0]",0.0,0
28,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
34,1.0,1,0,"[0, 0, 0]",0.0,0
32,1.0,1,0,"[0, 0, 0]",0.0,0
28,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
31,2.0,1,3,"[1, 1, 0]",0.0,2
34,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
34,2.0,1,0,"[0, 0, 0]",0.0,5
33,2.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,94,0,"[0, 0, 0]",0.0,0
46,2.0,2,0,"[0, 1, 0]",0.0,1
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
45,1.0,2,0,"[0, 1, 0]",0.0,0
36,1.0,2,0,"[0, 1, 0]",0.0,0
30,2.0,1,0,"[0, 0, 0]",0.0,0
51,2.0,2,0,"[0, 0, 0]",0.0,0
34,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",4.0,5
0,1.0,1,3,"[0, 0, 0]",1.0,0
28,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",1.0,0
29,2.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",4.0,6
0,1.0,1,0,"[0, 0, 0]",0.0,0
30,2.0,2,0,"[0, 1, 0]",0.0,0
56,1.0,2,0,"[0, 0, 0]",4.0,11
0,2.0,2,0,"[0, 0, 0]",0.0,0
28,1.0,2,3,"[0, 0, 0]",0.0,1
46,1.0,2,0,"[0, 1, 0]",0.0,0
27,1.0,2,0,"[0, 0, 0]",0.0,0
25,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
33,1.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
41,1.0,2,3,"[0, 1, 0]",0.0,2
27,2.0,1,3,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,2.0,1,3,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
44,2.0,2,0,"[0, 1, 0]",0.0,0
31,1.0,1,0,"[0, 1, 0]",0.0,0
39,2.0,2,0,"[0, 0, 0]",0.0,0
28,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
33,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 1, 0]",1.0,11
34,1.0,1,0,"[0, 1, 0]",0.0,1
29,1.0,2,0,"[0, 0, 0]",0.0,0
48,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
31,2.0,1,3,"[0, 0, 0]",1.0,4
0,2.0,1,0,"[0, 0, 0]",0.0,0
29,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,1,3,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
34,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,3,"[0, 0, 0]",0.0,4
36,2.0,1,0,"[0, 0, 0]",0.0,0
29,2.0,1,0,"[0, 0, 0]",0.0,0
26,1.0,2,1,"[0, 1, 0]",0.0,0
38,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
37,2.0,2,1,"[1, 1, 0]",4.0,1
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
41,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,1,2,"[0, 0, 0]",0.0,3
0,2.0,2,0,"[0, 0, 0]",7.0,0
29,2.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
32,1.0,2,3,"[0, 1, 0]",0.0,2
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,2.0,2,4,"[0, 0, 0]",0.0,4
0,1.0,2,3,"[0, 0, 0]",4.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
34,2.0,1,3,"[1, 0, 0]",1.0,3
0,1.0,1,0,"[0, 0, 0]",0.0,0
31,1.0,1,0,"[0, 0, 0]",0.0,0
35,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
35,2.0,2,0,"[0, 0, 0]",0.0,0
23,1.0,1,0,"[0, 1, 0]",0.0,0
0,2.0,1,3,"[1, 0, 0]",0.0,2
27,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
26,1.0,21118,0,"[0, 1, 0]",0.0,0
0,1.0,2,1,"[0, 0, 0]",0.0,2
31,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
27,2.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
28,1.0,2,0,"[0, 0, 0]",0.0,0
26,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
41,2.0,2,0,"[0, 1, 0]",0.0,0
29,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
31,1.0,1,0,"[0, 1, 0]",0.0,0
48,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
24,2.0,2,0,"[0, 0, 0]",0.0,0
36,1.0,2,0,"[0, 0, 0]",0.0,0
30,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
30,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,4
37,1.0,1,0,"[0, 0, 0]",0.0,3
0,2.0,1,4,"[0, 0, 0]",0.0,0
28,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,94,0,"[0, 0, 0]",0.0,0
25,2.0,1,2,"[0, 0, 0]",0.0,2
0,2.0,1,0,"[0, 0, 0]",0.0,0
25,2.0,2,0,"[0, 1, 0]",0.0,0
31,1.0,104,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
44,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",4.0,2
35,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
39,2.0,0,0,"[0, 0, 0]",1.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,1,2,"[1, 1, 0]",1.0,1
33,2.0,1,0,"[0, 0, 0]",0.0,0
29,1.0,1,3,"[1, 0, 0]",7.0,1
29,1.0,2,0,"[0, 0, 0]",0.0,0
50,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,3,"[1, 0, 0]",4.0,0
29,1.0,1,3,"[0, 0, 0]",4.0,3
0,1.0,2,0,"[0, 0, 0]",0.0,0
26,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
34,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
39,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
25,1.0,4683739,0,"[0, 0, 0]",0.0,0
31,1.0,1,0,"[0, 0, 0]",0.0,0
55,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
38,1.0,1,0,"[0, 0, 0]",0.0,0
21,2.0,0,0,"[0, 0, 0]",0.0,0
0,1.0,1,3,"[0, 0, 0]",4.0,1
0,1.0,1,0,"[0, 0, 0]",0.0,0
32,2.0,104,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
34,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,3
34,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,3,"[1, 1, 0]",0.0,4
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,4,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
46,1.0,2,0,"[0, 0, 0]",4.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
28,1.0,2,1,"[0, 1, 0]",0.0,0
31,2.0,1,0,"[0, 0, 0]",0.0,1
0,1.0,72,0,"[0, 1, 0]",0.0,0
29,2.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,208,0,"[0, 0, 0]",0.0,0
27,1.0,2,0,"[0, 0, 0]",0.0,1
31,1.0,2,0,"[0, 0, 0]",0.0,0
27,1.0,2,1,"[1, 1, 0]",0.0,3
0,2.0,1,0,"[0, 1, 0]",0.0,0
27,1.0,1,1,"[0, 1, 0]",1.0,0
28,2.0,1,0,"[0, 0, 0]",0.0,0
37,2.0,1,0,"[0, 1, 0]",0.0,0
32,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
29,2.0,0,0,"[0, 1, 0]",0.0,0
28,1.0,1,0,"[0, 1, 0]",0.0,0
0,2.0,2,0,"[0, 1, 0]",4.0,4
0,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
36,1.0,2,0,"[0, 1, 0]",0.0,0
31,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
33,1.0,104,3,"[0, 0, 0]",0.0,0
29,1.0,1,4,"[0, 0, 0]",7.0,1
0,1.0,2,3,"[1, 1, 0]",0.0,1
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
35,1.0,1,0,"[0, 0, 0]",4.0,0
33,1.0,1,3,"[0, 1, 0]",4.0,1
0,1.0,2,0,"[0, 0, 0]",0.0,0
47,2.0,2,0,"[0, 0, 0]",0.0,0
35,1.0,2,0,"[0, 0, 0]",0.0,0
24,1.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,3,"[0, 0, 0]",1.0,3
61,1.0,2,0,"[0, 0, 1]",4.0,5
26,1.0,2,0,"[0, 1, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
27,1.0,1,0,"[0, 1, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
27,1.0,1,0,"[0, 1, 0]",0.0,0
29,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
37,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
40,2.0,1,3,"[0, 0, 0]",4.0,0
45,2.0,2,0,"[0, 0, 0]",0.0,0
28,2.0,1,0,"[0, 0, 0]",0.0,0
36,2.0,2,3,"[0, 0, 0]",2.0,5
28,1.0,104,0,"[0, 0, 0]",0.0,0
28,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,1,3,"[0, 1, 0]",1.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
23,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,1,3,"[1, 0, 0]",0.0,2
0,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,12735,0,"[0, 0, 0]",0.0,0
27,2.0,1,0,"[0, 1, 0]",4.0,10
0,1.0,1,0,"[0, 0, 0]",0.0,0
35,2.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
22,2.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
43,1.0,2,0,"[0, 0, 0]",1.0,0
0,2.0,1,3,"[0, 1, 0]",0.0,3
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,2.0,2,0,"[0, 0, 0]",0.0,1
0,1.0,1,0,"[0, 1, 0]",0.0,3
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,2.0,1,0,"[0, 1, 0]",0.0,0
31,1.0,2,0,"[0, 0, 0]",4.0,0
31,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,3,"[0, 0, 0]",4.0,2
31,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
33,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
33,2.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,2,3,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",1.0,1
30,2.0,1,0,"[0, 1, 0]",0.0,0
24,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,2,3,"[0, 1, 0]",0.0,0
44,1.0,2,2,"[0, 0, 0]",0.0,3
0,1.0,1,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
35,1.0,2,0,"[0, 0, 0]",0.0,0
0,2.0,1,0,"[0, 0, 0]",0.0,0
31,1.0,1,3,"[1, 0, 0]",0.0,2
0,1.0,1,0,"[0, 1, 0]",0.0,0
0,1.0,2,0,"[0, 0, 0]",0.0,0
0,1.0,1,0,"[0, 0, 0]",0.0,0
28,1.0,2,0,"[0, 1, 0]",0.0,0
0,2.0,2,3,"[1, 0, 0]",4.0,5
24,2.0,1,0,"[0, 0, 0]",0.0,0
0,1.0,2,0,"[0, 1, 0]",0.0,0
0,1.0,1,0,"[0, 1, 0]",0.0,0
